,TIME(2022/01/27 09:39:32.995),TIMETICK(f=10000000),FPOGX,FPOGY
232,1.55392,2269091691835,0.0,0.0
233,1.56047,2269091757364,0.0,0.0
234,1.56735,2269091826116,0.0,0.0
235,1.57375,2269091890187,0.0,0.0
236,1.58229,2269091975507,0.0,0.0
237,1.58905,2269092043220,0.0,0.0
238,1.59402,2269092092966,0.0,0.0
239,1.60156,2269092168235,0.0,0.0
240,1.6082,2269092234699,0.0,0.0
241,1.6144,2269092296554,0.0,0.0
242,1.62195,2269092372188,0.0,0.0
243,1.6281,2269092433599,0.0,0.0
244,1.63457,2269092498263,0.0,0.0
245,1.64163,2269092569013,0.0,0.0
246,1.64774,2269092630063,0.0,0.0
247,1.65443,2269092697017,0.0,0.0
248,1.66106,2269092763179,0.0,0.0
249,1.66768,2269092829436,0.0,0.0
250,1.67497,2269092902374,0.0,0.0
251,1.68222,2269092974798,0.0,0.0
252,1.68781,2269093030643,0.0,0.0
253,1.69434,2269093096023,0.0,0.0
254,1.70137,2269093166386,0.0,0.0
255,1.70779,2269093230653,0.0,0.0
256,1.71548,2269093307488,0.0,0.0
257,1.72186,2269093371213,0.0,0.0
258,1.7285,2269093437608,0.0,0.0
259,1.73557,2269093508308,0.0,0.0
260,1.7413,2269093565691,0.0,0.0
261,1.74911,2269093643786,0.0,0.0
262,1.75546,2269093707229,0.0,0.0
263,1.76285,2269093781096,0.0,0.0
264,1.76973,2269093849910,0.0,0.0
265,1.77484,2269093901119,0.0,0.0
266,1.78183,2269093971008,0.0,0.0
267,1.7881,2269094033666,0.0,0.0
268,1.79497,2269094102308,0.0,0.0
269,1.80168,2269094169408,0.0,0.0
270,1.80852,2269094237905,0.0,0.0
271,1.81497,2269094302374,0.0,0.0
272,1.8226,2269094378615,0.0,0.0
273,1.82915,2269094444144,0.0,0.0
274,1.83659,2269094518654,0.0,0.0
275,1.84187,2269094571335,0.0,0.0
276,1.84962,2269094648979,0.0,0.0
277,1.85646,2269094717207,0.0,0.0
